ID,Name,Bgd count,Result count,Result gene list,Pct of bgd,Fold enrichment,Odds ratio,P-value,Benjamini,Bonferroni
GO:0005576,extracellular region,374,50,"Afu1g06480,Afu1g10630,Afu1g11460,Afu1g12560,Afu1g14170,Afu1g15960,Afu2g00760,Afu2g01170,Afu2g03980,Afu2g05150,Afu2g09520,Afu2g11440,Afu2g12010,Afu2g14540,Afu3g00270,Afu3g00840,Afu3g02770,Afu3g02940,Afu3g07040,Afu3g07430,Afu3g07870,Afu3g11260,Afu3g11280,Afu3g11400,Afu3g12690,Afu3g12950,Afu4g03240,Afu4g03490,Afu4g03830,Afu4g04070,Afu4g13920,Afu4g14450,Afu5g00975,Afu5g03760,Afu5g03960,Afu5g08090,Afu5g10380,Afu5g10530,Afu6g02230,Afu6g06770,Afu6g09540,Afu6g10260,Afu6g10580,Afu6g11610,Afu6g11660,Afu6g12070,Afu7g01000,Afu7g05030,Afu8g00700,Afu8g06830,",13.4,2.66,3.13,1.52061325944E-10,4.40977845238E-09,4.40977845238E-09
GO:0030312,external encapsulating structure,249,35,"Afu1g10630,Afu1g11460,Afu1g12070,Afu1g13670,Afu1g14170,Afu2g01170,Afu2g09960,Afu2g12400,Afu3g00270,Afu3g07430,Afu3g11260,Afu3g11400,Afu3g12690,Afu4g03240,Afu4g03490,Afu4g04550,Afu4g07845,Afu4g09600,Afu4g13670,Afu5g03760,Afu5g06390,Afu5g08540,Afu5g10550,Afu5g13450,Afu6g06770,Afu6g07430,Afu6g08390,Afu6g10580,Afu6g11390,Afu6g12070,Afu6g12930,Afu7g02310,Afu7g05340,Afu8g00700,Afu8g01710,",14.1,2.8,3.25,2.7424354649E-08,3.9765314241E-07,7.95306284821E-07
GO:0005618,cell wall,209,31,"Afu1g10630,Afu1g11460,Afu1g12070,Afu1g13670,Afu1g14170,Afu2g01170,Afu2g09960,Afu2g12400,Afu3g00270,Afu3g07430,Afu3g11260,Afu3g11400,Afu3g12690,Afu4g03240,Afu4g03490,Afu4g07845,Afu4g09600,Afu4g13670,Afu5g03760,Afu5g08540,Afu5g10550,Afu5g13450,Afu6g06770,Afu6g07430,Afu6g08390,Afu6g10580,Afu6g11390,Afu6g12070,Afu7g05340,Afu8g00700,Afu8g01710,",14.8,2.95,3.44,4.99080862482E-08,4.82444833733E-07,1.4473345012E-06
GO:0005886,plasma membrane,617,56,"Afu1g03510,Afu1g05290,Afu1g07300,Afu1g10370,Afu1g10630,Afu1g11460,Afu1g16750,Afu2g01170,Afu2g03650,Afu2g04400,Afu2g05740,Afu2g05840,Afu2g08350,Afu2g09130,Afu2g09960,Afu2g11520,Afu2g13710,Afu2g14060,Afu3g00270,Afu3g00880,Afu3g07530,Afu3g10820,Afu3g11040,Afu3g11660,Afu3g12970,Afu4g01480,Afu4g04070,Afu4g06050,Afu4g09150,Afu4g13670,Afu5g02260,Afu5g03760,Afu5g06660,Afu5g08130,Afu5g09680,Afu5g10550,Afu5g14030,Afu6g02170,Afu6g03690,Afu6g06680,Afu6g06770,Afu6g07430,Afu6g07520,Afu6g10580,Afu6g10990,Afu6g11390,Afu6g12550,Afu6g14140,Afu7g01220,Afu7g05340,Afu7g05550,Afu7g07120,Afu8g01850,Afu8g04430,Afu8g04500,Afu8g05710,",9.1,1.81,2.0,9.75863502253E-06,7.07501039134E-05,0.000283000415654
GO:0032991,protein-containing complex,1637,108,"Afu1g00150,Afu1g03510,Afu1g03820,Afu1g03910,Afu1g03992,Afu1g04590,Afu1g04830,Afu1g04950,Afu1g05160,Afu1g05620,Afu1g07510,Afu1g09060,Afu1g09440,Afu1g10320,Afu1g11890,Afu1g12070,Afu1g12590,Afu1g13920,Afu1g14120,Afu1g14200,Afu1g14680,Afu1g14740,Afu1g15340,Afu1g15950,Afu1g16280,Afu2g01820,Afu2g02230,Afu2g03030,Afu2g03650,Afu2g03930,Afu2g04270,Afu2g04610,Afu2g04650,Afu2g04820,Afu2g05740,Afu2g06280,Afu2g09130,Afu2g09310,Afu2g09960,Afu2g10620,Afu2g11170,Afu2g11440,Afu2g11660,Afu2g11850,Afu2g12400,Afu2g12530,Afu2g12970,Afu2g14280,Afu2g15600,Afu2g16030,Afu2g16170,Afu2g16670,Afu3g04320,Afu3g05890,Afu3g06010,Afu3g07430,Afu3g08940,Afu3g11260,Afu3g11390,Afu3g13360,Afu3g14100,Afu4g07100,Afu4g07845,Afu4g09010,Afu4g09360,Afu4g12750,Afu5g04060,Afu5g05705,Afu5g05950,Afu5g07740,Afu5g07930,Afu5g08130,Afu5g08540,Afu5g09200,Afu5g09660,Afu5g09680,Afu5g10550,Afu5g11370,Afu5g11540,Afu5g11600,Afu5g11620,Afu5g12680,Afu5g13865,Afu6g04560,Afu6g04670,Afu6g06770,Afu6g06880,Afu6g07180,Afu6g07520,Afu6g08630,Afu6g09370,Afu6g10730,Afu6g11470,Afu6g12290,Afu6g12770,Afu7g01850,Afu7g01920,Afu7g01940,Afu7g03980,Afu7g05260,Afu7g05370,Afu7g05480,Afu8g04430,Afu8g04500,Afu8g04560,Afu8g04660,Afu8g04740,Afu8g05280,",6.6,1.31,1.43,0.0012230991929,0.00709397531879,0.035469876594
GO:0005739,mitochondrion,744,55,"Afu1g03510,Afu1g06610,Afu1g07530,Afu1g10630,Afu1g12070,Afu1g12800,Afu1g14200,Afu1g15140,Afu1g15340,Afu1g15960,Afu1g16280,Afu1g16750,Afu2g04270,Afu2g08750,Afu2g09130,Afu2g09310,Afu2g09960,Afu2g12010,Afu2g12400,Afu2g12530,Afu2g13710,Afu2g13960,Afu2g14060,Afu3g06040,Afu3g07430,Afu3g07690,Afu3g08330,Afu3g10820,Afu4g04410,Afu4g09360,Afu5g04230,Afu5g05920,Afu5g07100,Afu5g09680,Afu5g10550,Afu5g11540,Afu5g13370,Afu5g13450,Afu6g02170,Afu6g02230,Afu6g02960,Afu6g03590,Afu6g03730,Afu6g04560,Afu6g06770,Afu6g08630,Afu6g08750,Afu6g10990,Afu6g12250,Afu6g12550,Afu6g12930,Afu7g01000,Afu7g01850,Afu8g02760,Afu8g05580,",7.4,1.47,1.57,0.00226251781619,0.01063390428,0.0656130166694
GO:0005737,cytoplasm,2781,168,"Afu1g00150,Afu1g03510,Afu1g04340,Afu1g04950,Afu1g05620,Afu1g05930,Afu1g06610,Afu1g06840,Afu1g07220,Afu1g07510,Afu1g07530,Afu1g09060,Afu1g09440,Afu1g10370,Afu1g10570,Afu1g10630,Afu1g11890,Afu1g12070,Afu1g12800,Afu1g13920,Afu1g14120,Afu1g14170,Afu1g14200,Afu1g14960,Afu1g15140,Afu1g15340,Afu1g15720,Afu1g15900,Afu1g15950,Afu1g15960,Afu1g16280,Afu1g16750,Afu1g16840,Afu2g01070,Afu2g02050,Afu2g02230,Afu2g02250,Afu2g03490,Afu2g03610,Afu2g03650,Afu2g04270,Afu2g04610,Afu2g04650,Afu2g04820,Afu2g05740,Afu2g06280,Afu2g08380,Afu2g08740,Afu2g08750,Afu2g09130,Afu2g09310,Afu2g09960,Afu2g10620,Afu2g11080,Afu2g11440,Afu2g11520,Afu2g11660,Afu2g11760,Afu2g11850,Afu2g12010,Afu2g12400,Afu2g12530,Afu2g12970,Afu2g13680,Afu2g13710,Afu2g13960,Afu2g14060,Afu2g14280,Afu2g16010,Afu2g16090,Afu2g16120,Afu2g16670,Afu3g06010,Afu3g06040,Afu3g07040,Afu3g07430,Afu3g07690,Afu3g08330,Afu3g08410,Afu3g08940,Afu3g09320,Afu3g09360,Afu3g10300,Afu3g10820,Afu3g11260,Afu3g11390,Afu3g11400,Afu3g12690,Afu3g13360,Afu3g14690,Afu4g04410,Afu4g05915,Afu4g06050,Afu4g07845,Afu4g09360,Afu4g11710,Afu4g11820,Afu4g12750,Afu4g14350,Afu5g04060,Afu5g04230,Afu5g04270,Afu5g05705,Afu5g05920,Afu5g05950,Afu5g05960,Afu5g06390,Afu5g07100,Afu5g07930,Afu5g08130,Afu5g08540,Afu5g09200,Afu5g09610,Afu5g09660,Afu5g09680,Afu5g10360,Afu5g10550,Afu5g11540,Afu5g11600,Afu5g11730,Afu5g11820,Afu5g12420,Afu5g13370,Afu5g13450,Afu5g13620,Afu6g00630,Afu6g02150,Afu6g02170,Afu6g02230,Afu6g02960,Afu6g03590,Afu6g03730,Afu6g04560,Afu6g04670,Afu6g06770,Afu6g07180,Afu6g07430,Afu6g07520,Afu6g07910,Afu6g08100,Afu6g08630,Afu6g08750,Afu6g09370,Afu6g10260,Afu6g10990,Afu6g11470,Afu6g12250,Afu6g12550,Afu6g12930,Afu6g13470,Afu6g14140,Afu7g00250,Afu7g01000,Afu7g01220,Afu7g01590,Afu7g01850,Afu7g02310,Afu7g02540,Afu7g03980,Afu7g05210,Afu7g05370,Afu8g02760,Afu8g04340,Afu8g04430,Afu8g04500,Afu8g04560,Afu8g04660,Afu8g05580,",6.0,1.2,1.33,0.00256680448139,0.01063390428,0.0744373299603
GO:0031012,extracellular matrix,55,8,"Afu2g09960,Afu3g07430,Afu4g04550,Afu5g06390,Afu5g13450,Afu6g06770,Afu6g12930,Afu7g02310,",14.5,2.89,3.25,0.0058320011682,0.0211410042347,0.169128033878
GO:0005856,cytoskeleton,220,20,"Afu1g04950,Afu1g05930,Afu1g14960,Afu1g15720,Afu1g15900,Afu1g16840,Afu2g03980,Afu2g05740,Afu2g10620,Afu2g14280,Afu3g06010,Afu4g07100,Afu5g05950,Afu5g08540,Afu5g10360,Afu5g11600,Afu6g07520,Afu7g00250,Afu7g05370,Afu8g04660,",9.1,1.81,1.93,0.00742841486667,0.0239360034593,0.215424031133
GO:0005783,endoplasmic reticulum,337,25,"Afu1g11890,Afu1g14120,Afu2g01070,Afu2g06280,Afu2g08380,Afu2g08740,Afu2g11080,Afu2g14060,Afu2g16120,Afu3g08410,Afu3g13360,Afu5g04060,Afu5g04270,Afu5g05705,Afu5g07100,Afu5g08130,Afu5g13620,Afu6g00630,Afu6g02150,Afu6g04670,Afu6g07180,Afu6g10990,Afu7g01220,Afu8g04430,Afu8g04500,",7.4,1.48,1.54,0.0328253785777,0.0951935978753,0.951935978753
