ID,Name,Bgd count,Result count,Result gene list,Pct of bgd,Fold enrichment,Odds ratio,P-value,Benjamini,Bonferroni
GO:0005576,extracellular region,360,53,"AN0241,AN0423,AN0458,AN0687,AN1041,AN1222,AN1274,AN1502,AN1551,AN1602,AN1638,AN1818,AN2331,AN2542,AN2555,AN2954,AN3046,AN3112,AN3337,AN3959,AN4064,AN4372,AN4575,AN4882,AN5214,AN5818,AN5904,AN6428,AN6563,AN6656,AN6795,AN7102,AN7180,AN7193,AN7366,AN7541,AN7646,AN7725,AN7891,AN7915,AN7950,AN8218,AN8241,AN8312,AN8327,AN8453,AN8461,AN8484,AN8803,AN8908,AN8977,AN9377,AN9524,",14.7,2.75,3.26,1.17698467393E-11,3.4132555544E-10,3.4132555544E-10
GO:0005777,peroxisome,120,18,"AN0574,AN10215,AN1543,AN1547,AN1638,AN2925,AN3901,AN4280,AN4397,AN4579,AN4709,AN4899,AN5692,AN6279,AN6394,AN6542,AN7111,AN8275,",15.0,2.8,3.19,6.49896119888E-05,0.000942349373838,0.00188469874768
GO:0005737,cytoplasm,2709,181,"AN0050,AN0113,AN0117,AN0241,AN0242,AN0357,AN0403,AN0410,AN0423,AN0574,AN0651,AN0673,AN0837,AN0870,AN0906,AN0914,AN0943,AN10007,AN1003,AN10172,AN10215,AN1023,AN10417,AN1047,AN1055,AN1061,AN10701,AN10778,AN10879,AN1094,AN1100,AN11010,AN11168,AN11175,AN11543,AN1162,AN1165,AN11687,AN11715,AN1177,AN1179,AN11859,AN1198,AN12213,AN1222,AN1242,AN12473,AN1248,AN1274,AN1281,AN1328,AN1455,AN1510,AN1543,AN1547,AN1624,AN1638,AN1733,AN1879,AN1933,AN1965,AN2007,AN2045,AN2094,AN2130,AN2142,AN2150,AN2200,AN2280,AN2295,AN2332,AN2333,AN2414,AN2567,AN2738,AN2801,AN2858,AN2867,AN2903,AN2907,AN2925,AN2946,AN3095,AN3112,AN3441,AN3463,AN3690,AN3716,AN3733,AN3795,AN3807,AN3821,AN3841,AN3869,AN3897,AN3901,AN3922,AN4064,AN4095,AN4250,AN4280,AN4313,AN4388,AN4397,AN4419,AN4462,AN4579,AN4603,AN4616,AN4667,AN4668,AN4709,AN4718,AN4745,AN4899,AN4912,AN5011,AN5111,AN5132,AN5494,AN5520,AN5652,AN5668,AN5669,AN5677,AN5692,AN5693,AN5701,AN5705,AN5715,AN5931,AN5986,AN6053,AN6089,AN6118,AN6202,AN6231,AN6279,AN6288,AN6341,AN6345,AN6394,AN6477,AN6542,AN6563,AN6688,AN6689,AN6711,AN6723,AN6731,AN6838,AN6844,AN6922,AN6973,AN7000,AN7016,AN7029,AN7111,AN7193,AN7311,AN7451,AN7472,AN7534,AN7571,AN7701,AN7721,AN7722,AN7783,AN7873,AN8059,AN8117,AN8275,AN8559,AN8755,AN8817,AN8881,AN8908,AN9083,AN9157,AN9396,AN9504,",6.7,1.25,1.39,0.000291650150619,0.00281928478931,0.00845785436794
GO:0005886,plasma membrane,560,49,"AN0357,AN0374,AN0651,AN0870,AN10013,AN1023,AN1094,AN1177,AN1181,AN12213,AN1222,AN12473,AN12485,AN1281,AN1455,AN1691,AN1800,AN2130,AN2251,AN2385,AN2414,AN3157,AN3690,AN3763,AN3821,AN3922,AN4064,AN4313,AN4388,AN4906,AN4912,AN5011,AN5132,AN5167,AN5628,AN5633,AN5692,AN6118,AN6477,AN6652,AN6973,AN7016,AN7472,AN7721,AN7950,AN8059,AN8077,AN8241,AN8337,",8.8,1.64,1.76,0.000426508814844,0.00309218890762,0.0123687556305
GO:0005618,cell wall,121,15,"AN10879,AN1222,AN12473,AN1551,AN1638,AN2332,AN3032,AN3112,AN3925,AN4667,AN5834,AN7735,AN7950,AN8241,AN8803,",12.4,2.32,2.54,0.00196975773401,0.0114245948573,0.0571229742864
GO:0005783,endoplasmic reticulum,331,30,"AN10701,AN1165,AN11715,AN1455,AN1510,AN1933,AN2045,AN2130,AN2333,AN2738,AN3463,AN3733,AN3807,AN3841,AN4616,AN4899,AN5011,AN5668,AN5692,AN6053,AN6345,AN6689,AN6731,AN6973,AN7472,AN7571,AN7721,AN8117,AN8817,AN8908,",9.1,1.69,1.81,0.00325083661021,0.0157123769494,0.0942742616962
GO:0005622,intracellular anatomical structure,4026,244,"AN0050,AN0059,AN0091,AN0113,AN0117,AN0153,AN0241,AN0242,AN0357,AN0403,AN0410,AN0423,AN0453,AN0574,AN0651,AN0673,AN0808,AN0809,AN0837,AN0870,AN0891,AN0906,AN0914,AN0928,AN0937,AN0943,AN0988,AN10007,AN1003,AN10172,AN10215,AN1023,AN10307,AN10317,AN10417,AN1045,AN1047,AN10489,AN10526,AN1055,AN1060,AN1061,AN10673,AN10701,AN1071,AN10778,AN10789,AN10879,AN1094,AN1100,AN11010,AN11168,AN11169,AN11175,AN11543,AN1162,AN1165,AN11687,AN11715,AN1177,AN1179,AN11859,AN1198,AN12213,AN1222,AN1242,AN12473,AN1248,AN1274,AN1281,AN1328,AN1368,AN1429,AN1455,AN1510,AN1538,AN1543,AN1547,AN1584,AN1624,AN1638,AN1645,AN1690,AN1733,AN1812,AN1879,AN1933,AN1965,AN2007,AN2009,AN2045,AN2047,AN2094,AN2123,AN2130,AN2135,AN2142,AN2150,AN2200,AN2210,AN2280,AN2295,AN2324,AN2332,AN2333,AN2414,AN2431,AN2567,AN2738,AN2801,AN2858,AN2867,AN2903,AN2907,AN2925,AN2946,AN2965,AN2973,AN2996,AN3095,AN3112,AN3441,AN3463,AN3690,AN3716,AN3733,AN3795,AN3807,AN3821,AN3841,AN3869,AN3897,AN3901,AN3922,AN4064,AN4090,AN4095,AN4185,AN4250,AN4280,AN4313,AN4388,AN4397,AN4419,AN4462,AN4499,AN4570,AN4579,AN4586,AN4603,AN4616,AN4667,AN4668,AN4709,AN4718,AN4735,AN4745,AN4821,AN4899,AN4912,AN5011,AN5111,AN5132,AN5167,AN5412,AN5494,AN5520,AN5598,AN5627,AN5643,AN5652,AN5668,AN5669,AN5677,AN5692,AN5693,AN5701,AN5705,AN5715,AN5870,AN5892,AN5931,AN5986,AN6053,AN6089,AN6118,AN6166,AN6202,AN6231,AN6279,AN6288,AN6341,AN6345,AN6394,AN6477,AN6542,AN6563,AN6616,AN6688,AN6689,AN6711,AN6723,AN6731,AN6832,AN6838,AN6844,AN6903,AN6922,AN6973,AN7000,AN7016,AN7029,AN7111,AN7193,AN7206,AN7252,AN7296,AN7311,AN7431,AN7451,AN7456,AN7472,AN7534,AN7571,AN7701,AN7721,AN7722,AN7737,AN7759,AN7783,AN7873,AN8059,AN8117,AN8129,AN8275,AN8559,AN8755,AN8817,AN8881,AN8908,AN9083,AN9157,AN9396,AN9504,",6.1,1.13,1.25,0.00667177495888,0.0259133558025,0.193481473808
GO:0030312,external encapsulating structure,165,17,"AN10879,AN1222,AN12473,AN1551,AN1638,AN2332,AN3032,AN3112,AN3925,AN4329,AN4667,AN5834,AN7735,AN7950,AN8241,AN8803,AN9083,",10.3,1.93,2.06,0.00714851194551,0.0259133558025,0.20730684642
GO:0031410,cytoplasmic vesicle,212,20,"AN0410,AN0651,AN1023,AN11715,AN1177,AN1179,AN1242,AN1248,AN1638,AN2045,AN2094,AN2738,AN3733,AN3821,AN4095,AN4709,AN6341,AN7016,AN7311,AN9396,",9.4,1.76,1.87,0.00973452831342,0.0313668134544,0.282301321089
GO:0043226,organelle,3449,209,"AN0059,AN0091,AN0117,AN0153,AN0241,AN0242,AN0357,AN0410,AN0453,AN0574,AN0651,AN0673,AN0808,AN0809,AN0837,AN0870,AN0891,AN0906,AN0914,AN0928,AN0937,AN0943,AN0988,AN10007,AN1003,AN10172,AN10215,AN1023,AN10307,AN10317,AN10417,AN1045,AN1047,AN10489,AN10526,AN1055,AN1060,AN1061,AN10673,AN10701,AN1071,AN10778,AN10789,AN10879,AN1094,AN11168,AN11169,AN11175,AN11543,AN1162,AN1165,AN11687,AN11715,AN1177,AN1179,AN11859,AN1198,AN12213,AN1222,AN1242,AN12473,AN1248,AN1281,AN1368,AN1455,AN1510,AN1538,AN1543,AN1547,AN1584,AN1624,AN1638,AN1645,AN1690,AN1733,AN1812,AN1879,AN1933,AN2007,AN2009,AN2045,AN2047,AN2094,AN2123,AN2130,AN2135,AN2142,AN2210,AN2295,AN2324,AN2332,AN2333,AN2414,AN2431,AN2567,AN2738,AN2903,AN2925,AN2946,AN2965,AN2973,AN2996,AN3463,AN3690,AN3716,AN3733,AN3795,AN3807,AN3821,AN3841,AN3901,AN3922,AN4064,AN4090,AN4095,AN4185,AN4250,AN4280,AN4313,AN4388,AN4397,AN4419,AN4499,AN4570,AN4579,AN4586,AN4616,AN4667,AN4668,AN4709,AN4718,AN4735,AN4745,AN4821,AN4899,AN4912,AN5011,AN5132,AN5167,AN5412,AN5494,AN5520,AN5598,AN5627,AN5643,AN5668,AN5669,AN5692,AN5693,AN5705,AN5715,AN5870,AN5892,AN5931,AN6053,AN6089,AN6118,AN6166,AN6202,AN6279,AN6288,AN6341,AN6345,AN6394,AN6477,AN6542,AN6563,AN6616,AN6688,AN6689,AN6711,AN6731,AN6832,AN6838,AN6844,AN6903,AN6922,AN6973,AN7000,AN7016,AN7029,AN7111,AN7206,AN7252,AN7296,AN7311,AN7431,AN7451,AN7456,AN7472,AN7534,AN7571,AN7701,AN7721,AN7722,AN7737,AN7759,AN7783,AN8059,AN8117,AN8129,AN8275,AN8559,AN8755,AN8817,AN8881,AN8908,AN9396,AN9504,",6.1,1.13,1.22,0.0144919042503,0.0420265223258,0.420265223258
